country_code,2011,2012,2013,2014,country,latitude,longitude,name
AT,0.0,0.0,2.0,1.0,AT,47.516231,14.550072,Austria
AU,17.0,0.0,0.0,0.0,AU,-25.274398,133.775136,Australia
WS,0.0,1.0,0.0,0.0,WS,-13.759029,-172.10462900000002,Samoa
