country_code,2010,2011,2012,2013,2014,2015,2016,2017,country,latitude,longitude,name
AT,14.0,7.0,4.0,4.0,5.0,0.0,2.0,0.0,AT,47.516231,14.550072,Austria
CH,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CH,46.818188,8.227511999999999,Switzerland
GB,11.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,GB,55.378051,-3.435973,United Kingdom
IE,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,IE,53.41291,-8.243889999999999,Ireland
IS,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,IS,64.96305100000001,-19.020835,Iceland
LI,2.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,LI,47.166000000000004,9.555373,Liechtenstein
